nu,Nx,Ny,Nt,status,theta_used,n_attempts,total_time,iters_at_converged,residual_at_converged
1.0,16,16,10,converged,0.8,1,0.8,11,7.29e-07
0.3,16,16,10,converged,0.8,1,0.7,11,8.85e-07
0.1,16,16,10,converged,0.8,1,0.7,11,9.38e-07
0.03,16,16,10,converged,0.8,1,10.7,173,9.68e-07
0.01,16,16,10,converged,0.7,2,4.5,58,9.77e-07
0.003,16,16,10,converged,0.6,3,7.3,20,5.18e-07
0.001,16,16,10,failed,,9,20.5,,
0.0003,16,16,10,failed_by_monotonicity,,0,0.0,,
0.0001,16,16,10,failed_by_monotonicity,,0,0.0,,
1.0,32,32,10,converged,0.8,1,1.4,11,5.92e-07
0.3,32,32,10,converged,0.8,1,1.5,11,8.24e-07
0.1,32,32,10,converged,0.8,1,1.8,13,2.51e-07
0.03,32,32,10,converged,0.6,3,8.4,25,7.79e-07
0.01,32,32,10,converged,0.4,5,18.0,44,6.26e-07
0.003,32,32,10,converged,0.3,6,29.7,88,9.26e-07
0.001,32,32,10,failed,,9,88.2,,
0.0003,32,32,10,failed_by_monotonicity,,0,0.0,,
0.0001,32,32,10,failed_by_monotonicity,,0,0.0,,
1.0,64,64,10,converged,0.8,1,6.7,11,6.4e-07
0.3,64,64,10,converged,0.8,1,7.3,11,7.86e-07
0.1,64,64,10,converged,0.8,1,9.6,14,3.79e-07
0.03,64,64,10,converged,0.5,4,58.0,36,7.7e-07
0.01,64,64,10,converged,0.3,6,186.2,138,9.21e-07
0.003,64,64,10,failed,,9,143.2,,
0.001,64,64,10,failed_by_monotonicity,,0,0.0,,
0.0003,64,64,10,failed_by_monotonicity,,0,0.0,,
0.0001,64,64,10,failed_by_monotonicity,,0,0.0,,
1.0,128,128,10,converged,0.8,1,54.0,11,6.78e-07
0.3,128,128,10,converged,0.8,1,58.2,11,8.23e-07
0.1,128,128,10,converged,0.8,1,78.2,14,6.82e-07
0.03,128,128,10,converged,0.5,4,495.2,40,7.76e-07
0.01,128,128,10,converged,0.3,6,1079.4,93,9.7e-07
0.003,128,128,10,failed,,9,966.5,,
0.001,128,128,10,failed_by_monotonicity,,0,0.0,,
0.0003,128,128,10,failed_by_monotonicity,,0,0.0,,
0.0001,128,128,10,failed_by_monotonicity,,0,0.0,,
